Age,Gender,Education level,How often do you listen to music?,How important is music in your life? ,What ways do you engage with music?,How did you learn music?,"How much do you struggle trying to learn, compose or consume anything related to music? "
17-21,Male,Bachelors,4,2,Listen,I do not know anything about music only listen,2
17-21,Male,Bachelors,5,5,Listen;Play;Write and compose;Music theory,Private school,4
17-21,Male,Bachelors,5,5,Listen;Play,Self learning,3
17-21,Male,Bachelors,5,5,Listen;Play;Sing;Write and compose,Self learning,4
17-21,Male,Bachelors,4,3,Listen;Play;Sing,Conservatory,3
17-21,Male,Bachelors,5,5,Listen,I do not know anything about music only listen,5
17-21,Male,Bachelors,3,3,Listen,I do not know anything about music only listen,4
17-21,Male,Bachelors,4,5,Listen;Write and compose,Self learning,4
17-21,Male,Bachelors,5,5,Listen;Play;Sing;Music theory,Conservatory,2
17-21,Male,Bachelors,5,4,Listen;Play,Internet,2
22-26,Male,Bachelors,5,5,Listen;Play;Sing;Write and compose;Produce;Music theory,Private tutoring,3
17-21,Male,Bachelors,5,5,Listen;Play;Sing,I do not know anything about music only listen,1
17-21,Male,Bachelors,5,5,Listen;Sing,I do not know anything about music only listen,3
17-21,Male,Bachelors,2,2,Listen,I do not know anything about music only listen,1
17-21,Male,Bachelors,4,5,Listen;Play;Sing;Write and compose;Produce;Music theory,combination of the above,3
17-21,Male,School,5,4,Listen,I do not know anything about music only listen,1
17-21,Female,Bachelors,5,5,Listen;Play;Sing,Conservatory,2
17-21,Male,Bachelors,4,4,Listen;Play;Sing,I do not know anything about music only listen,3
17-21,Female,Bachelors,4,4,Listen,I do not know anything about music only listen,1
17-21,Male,Bachelors,3,3,Listen,I do not know anything about music only listen,1
17-21,Female,Bachelors,5,5,Listen,I do not know anything about music only listen,1
17-21,Female,Bachelors,5,4,Listen;Play;Sing,Self learning,3
17-21,Female,Bachelors,3,4,Listen,Self learning,1
22-26,Male,Bachelors,5,3,Listen;Play;Sing;Music theory,Private tutoring,3
17-21,Male,Bachelors,5,5,Listen,I do not know anything about music only listen,1
17-21,Female,Bachelors,5,5,Listen;Play;Sing;Write and compose,Self learning,1
17-21,Male,Bachelors,5,5,Listen,Self learning,3
17-21,Male,Bachelors,5,4,Listen;Play;Sing;Write and compose,Self learning,3
17-21,Female,School,3,3,Listen;Sing,I do not know anything about music only listen,3
17-21,Male,Bachelors,3,3,Listen,I do not know anything about music only listen,3
17-21,Male,Bachelors,3,3,Listen,I do not know anything about music only listen,3
17-21,Female,School,4,4,Listen;Play,Private tutoring,4
17-21,Female,Bachelors,5,5,Listen;Play,Conservatory,3
17-21,Male,Bachelors,3,2,Listen;Sing,Self learning,1
17-21,Female,Bachelors,5,4,Listen,I do not know anything about music only listen,1
22-26,Female,Masters,5,5,Listen;Play;Sing;Music theory,Private school,3
22-26,Male,Bachelors,5,5,Listen;Play;Produce;Music theory,Self learning,2
22-26,Female,Bachelors,3,5,Listen;Sing,Self learning,3
17-21,Female,Bachelors,5,5,Listen;Play;Sing;Write and compose,Private school,3
17-21,Male,Bachelors,5,5,Listen;Play;Sing;Music theory,"All, fluctuating ",2
17-21,Male,Bachelors,4,4,Listen,I do not know anything about music only listen,3
16-Dec,Female,School,5,4,Listen;Sing,I do not know anything about music only listen,3
16-Dec,Male,School,1,1,Play,Conservatory,4
16-Dec,Female,School,5,5,Listen,I do not know anything about music only listen,1
16-Dec,Male,School,5,4,Listen;Play;Sing,Private tutoring,3
16-Dec,Male,School,4,4,Listen;Sing,Internet,1
16-Dec,Male,School,5,5,Listen,I do not know anything about music only listen,5
17-21,Female,School,5,5,Listen;Play;Sing,Self learning,1
16-Dec,Female,School,5,4,Listen,I do not know anything about music only listen,2
16-Dec,Female,School,1,1,Listen,I do not know anything about music only listen,1
16-Dec,Female,School,5,4,Listen;Sing,I do not know anything about music only listen,3
16-Dec,Female,School,5,5,Listen;Sing,Self learning,4
16-Dec,Male,School,4,3,Listen;Play;study,Internet,3
16-Dec,Female,School,5,5,Listen,I do not know anything about music only listen,5
16-Dec,Female,School,4,3,Listen,I do not know anything about music only listen,3
